capitalization	earnings	taxes	sector	name	alias	symbol	company	Effective tax rate	fauxTaxRate	combinedX	combinedY	splitX	splitY
73048000000	33992000000	9379000000	Industrials	3M Company		MMM	3M Company	0.2759178630265945	0.2759178630265945	326.15999198258567	4.106961325957154	317.47837484339476	35.08581873964505
57408000000	34694000000	6317000000	Health care	Abbott Laboratories		ABT	Abbott Laboratories	0.18207759266732	0.18207759266732	215.93329860934702	24.886425224133006	213.15071893005216	97.75481415018591
3867000000	2551000000	960000000	Retailers	Abercrombie & Fitch Co.		ANF	Abercrombie & Fitch Co.	0.3763230105840847	0.3763230105840847	442.4329625756795	-12.94826787328811	433.4838178477365	171.85135598972226
49763000000	18735000000	5025000000	Information technology	Accenture plc		ACN	Accenture plc	0.2682145716573259	0.2682145716573259	321.0222190127401	-40.461350332444624	307.75349275942875	223.94605242638178
30619000000	16453000000	2834000000	Insurance	ACE Limited		ACE	ACE Limited	0.17224822220871575	0.17224822220871575	195.6351801821419	57.851827404040066	201.23433698801247	291.0939754102413
12565000000	1897000000	1218000000	Pharma	Actavis, Inc.		ACT	Actavis, Inc.	0.6420664206642066	0.6	695.7680019561468	27.853755755670996	695.475589860667	356.4947818674472
21980000000	5824000000	1035000000	Information technology	Adobe Systems Inc.		ADBE	Adobe Systems Inc.	0.1777129120879121	0.1777129120879121	202.7451853086912	-14.063729382174857	203.06477071453958	237.07054088761842
1850000000	-4934000000	81000000	Information technology	Advanced Micro Devices, Inc.		AMD	Advanced Micro Devices, Inc.	-0.016416700445885692	0.65	758.6612913360099	-20.060667648207627	759.50873254911	227.61160791641424
17797000000	15139000000	4637000000	Health care	Aetna Inc.		AET	Aetna Inc.	0.3062949996697272	0.3062949996697272	354.5281852614617	-6.3543588200316625	357.26519153962374	97.8004869018333
23183000000	17461000000	4441000000	Insurance	AFLAC Inc.		AFL	AFLAC Inc.	0.254338239505183	0.254338239505183	298.2007957871421	-20.240560795080913	301.73641112380443	290.7148489360543
14463000000	4259000000	565000000	Health care	Agilent Technologies Inc.		A	Agilent Technologies Inc.	0.13266024888471473	0.13266024888471473	153.12719328275506	-30.368876269314523	161.63673777173943	97.79106378580771
5019000000	2272000000	228000000	Utilities	AGL Resources Inc.		GAS	AGL Resources Inc.	0.10035211267605634	0.10035211267605634	117.74159040907485	-9.633745551847724	118.53130748499893	421.24849700126816
17783000000	7775000000	1217000000	Materials	Air Products & Chemicals Inc.		APD	Air Products & Chemicals Inc.	0.1565273311897106	0.1565273311897106	184.54757816249455	56.00805478723231	183.4598190937928	485.96365899528894
7355000000	2270000000	374000000	Materials	Airgas, Inc.		ARG	Airgas, Inc.	0.1647577092511013	0.1647577092511013	193.83382872480027	66.92891829715796	191.56756897621182	485.9787712985052
6155000000	1531000000	203000000	Information technology	Akamai Technologies, Inc.		AKAM	Akamai Technologies, Inc.	0.1325930764206401	0.1325930764206401	146.59321755951382	-33.51440504369366	145.8656229783728	240.75954248792678
8972000000	6031000000	2812000000	Materials	Alcoa Inc.		AA	Alcoa Inc.	0.4662576687116564	0.4662576687116564	542.3369884927488	-4.839256265273657	543.0805937837792	486.0859387962869
19166000000	767000000	41000000	Pharma	Alexion Pharmaceuticals, Inc.		ALXN	Alexion Pharmaceuticals, Inc.	0.05345501955671447	0.05345501955671447	60.32750419808702	9.805166694269047	63.34593952402007	356.67617788215927
